date,amount,currency
Tue Dec 21 2021 12:05:37 GMT+0000 (Coordinated Universal Time),1425.922282,trx
Mon Dec 20 2021 13:54:11 GMT+0000 (Coordinated Universal Time),1.68700056,ltc
Mon Dec 20 2021 13:02:20 GMT+0000 (Coordinated Universal Time),0.0032289,btc
Wed Dec 15 2021 16:06:55 GMT+0000 (Coordinated Universal Time),561.946453,trx
